"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 02 09:59:54 CST 2020","Sun Aug 02 09:59:54 CST 2020","110","case","test_02login","","","","test_01_login",""
"passed","Sun Aug 02 09:59:54 CST 2020","Sun Aug 02 09:59:54 CST 2020","20","case","test_03_logout","","","","test_02_logout",""
